@ 7200 IN SOA virgo hostmaster 1430540898 10800 1800 1814400 7200
@ 7200 IN MX 12801 ax.virusfree.cz.
7200 IN MX 12817 bx.virusfree.cz.
k3-502-svoboa05.k3 7200 IN A 160.217.222.211
oAP1-frov-hus-1NP.wx 7200 IN A 160.217.93.230
wireless-client-160-217-147-233.wa2 7200 IN A 160.217.147.233
VPN-160-217-129-20.vpn 7200 IN A 160.217.129.20
vv1-02.lib 7200 IN A 160.217.156.123
k110a15.ef 7200 IN A 160.217.172.55
wireless-client-160-217-132-147.wa1 7200 IN A 160.217.132.147
A0053TiskPagePro1350.ffrek 7200 IN A 160.217.153.48
IPtel-Dvorackova.zsf 7200 IN A 160.217.199.181
A3013Susicka.rek 7200 IN A 160.217.155.176
k5-325-jiruma00.k5 7200 IN A 160.217.228.210
lumen-i.tf 7200 IN A 160.217.193.6
wireless-client-160-217-132-2.wa1 7200 IN A 160.217.132.2
A305NTBStemberkova.rek 7200 IN A 160.217.155.149
wireless-client-160-217-132-21.wa1 7200 IN A 160.217.132.21
sal-A-projektor.zsf 7200 IN A 160.217.195.145
kaft174.ufb 7200 IN A 160.217.215.174
kressanotebook.pf 7200 IN A 160.217.121.149
www2.tf 7200 IN CNAME aries.tf
studijni-reserve49.zf 7200 IN A 160.217.166.49
k052100b06.zf 7200 IN A 160.217.162.201
KolejK5-160-217-231-188.k5 7200 IN A 160.217.231.188
wireless-client-160-217-150-144.wa2 7200 IN A 160.217.150.144
k170a18.ef 7200 IN A 160.217.173.42
wireless-client-160-217-145-119.wa2 7200 IN A 160.217.145.119
KolejK5-160-217-231-93.k5 7200 IN A 160.217.231.93
k1-908-zdarsm00.k1 7200 IN A 160.217.216.66
KNI-cam04.cam 7200 IN A 160.217.94.174
wireless-client-160-217-132-222.wa1 7200 IN A 160.217.132.222
CIT-reserve11.zf 7200 IN A 160.217.162.11
fprczs1053.prf 7200 IN A 160.217.214.54
k3-815-piskog00.k3 7200 IN A 160.217.222.172
fprczs2062.prf 7200 IN A 160.217.214.40
VPN-160-217-129-36.vpn 7200 IN A 160.217.129.36
cam14-84.cam 7200 IN A 160.217.84.114
homeB.pf 7200 IN A 160.217.96.63
wireless-client-160-217-149-182.wa2 7200 IN A 160.217.149.182
fzs-s06.zsf 7200 IN A 160.217.178.206
notelitu.tf 7200 IN A 160.217.193.111
AP1-av-prfu5-2NP.wx 7200 IN A 160.217.93.20
k110a16.ef 7200 IN A 160.217.172.56
t44prfB3 7200 IN A 160.217.8.7
fprcu03003.prf 7200 IN A 160.217.211.53
test-ff 7200 IN CNAME zms-test
AP2-FrovC-2NP.wx 7200 IN A 160.217.91.67
k3-306-lindlk00.k3 7200 IN A 160.217.223.30
rapid.kam 7200 IN A 160.217.220.108
fprcb1532.prf 7200 IN A 160.217.205.117
drac.bobik 7200 IN A 160.217.152.152
Pap-g485-EF-pavF.epc 7200 IN A 160.217.89.70
k2-317-vitovp00.k2 7200 IN A 160.217.219.89
k051800b2p-reserve120.zf 7200 IN A 160.217.162.120
eduroam-160-217-137-30.eduroam 7200 IN A 160.217.137.30
eduroam-160-217-136-131.eduroam 7200 IN A 160.217.136.131
kohu189.ufb 7200 IN A 160.217.215.189
REK-A3012Skener.rek 7200 IN A 160.217.155.43
sql4.zf 7200 IN CNAME srv-ef01
k052100b07.zf 7200 IN A 160.217.162.227
KolejK5-160-217-231-189.k5 7200 IN A 160.217.231.189
arpwatchN.wx 7200 IN A 160.217.91.250
k4-809a-ertelj00.k4 7200 IN A 160.217.225.12
KolejK5-160-217-231-94.k5 7200 IN A 160.217.231.94
k4-102b-carkok00.k4 7200 IN A 160.217.224.38
janasova.pf 7200 IN A 160.217.96.135
katalog.lib 7200 IN CNAME minas
wireless-client-160-217-132-148.wa1 7200 IN A 160.217.132.148
k052520j54.zf 7200 IN A 160.217.166.109
wireless-client-160-217-144-249.wa2 7200 IN A 160.217.144.249
cincurova.pf 7200 IN A 160.217.96.65
ucto1.bobik 7200 IN A 160.217.152.33
wireless-client-160-217-151-238.wa2 7200 IN A 160.217.151.238
k3-715-hrdliv03.k3 7200 IN A 160.217.222.42
k5-105-plouhk00.k5 7200 IN A 160.217.228.180
fzs-2490.zsf 7200 IN A 160.217.196.58
esfpro205.zsf 7200 IN A 160.217.200.18
t44rescue 7200 IN A 160.217.8.53
FROVZF-zasedacky-160-217-170-180.frovzf 7200 IN A 160.217.170.180
AP1-szp-sad-2NP.wx 7200 IN A 160.217.91.88
wireless-client-160-217-150-121.wa2 7200 IN A 160.217.150.121
itinfo 7200 IN CNAME zms
bizhub3300p-stud.pf 7200 IN A 160.217.96.109
vypuj2.lib 7200 IN A 160.217.156.145
k4-602b-zemanp03.k4 7200 IN A 160.217.224.80
wireless-client-160-217-149-147.wa2 7200 IN A 160.217.149.147
eduroam-160-217-136-94.eduroam 7200 IN A 160.217.136.94
wireless-client-160-217-147-13.wa2 7200 IN A 160.217.147.13
VPN-160-217-131-142.vpn 7200 IN A 160.217.131.142
eduroam-160-217-137-233.eduroam 7200 IN A 160.217.137.233
jcu-alga-gw 7200 IN A 160.217.9.30
k5-101-marsaj06.k5 7200 IN A 160.217.228.183
k2-310-nerado00.k2 7200 IN A 160.217.218.15
wireless-client-160-217-132-255.wa1 7200 IN A 160.217.132.255
studijni-reserve52.zf 7200 IN A 160.217.166.52
k052100b08.zf 7200 IN A 160.217.162.203
KolejK5-160-217-231-191.k5 7200 IN A 160.217.231.191
printer-hp2600n-policar.frov 7200 IN MX 10 printer-hp2600n-policar.frov
printer-hp2600n-policar.frov 7200 IN A 160.217.190.115
KolejK5-160-217-231-95.k5 7200 IN A 160.217.231.95
VPN-160-217-129-70.vpn 7200 IN A 160.217.129.70
oki.kam 7200 IN A 160.217.220.243
CIT-reserve13.zf 7200 IN A 160.217.162.13
k3-204-novakl26.k3 7200 IN A 160.217.222.244
kuru213.ufb 7200 IN A 160.217.215.213
k052520j55.zf 7200 IN A 160.217.166.110
pc0701.zf 7200 IN A 160.217.164.71
wireless-client-160-217-147-63.wa2 7200 IN A 160.217.147.63
k052521j07.zf 7200 IN A 160.217.166.8
VPN-160-217-131-192.vpn 7200 IN A 160.217.131.192
k4-910b-duskol04.k4 7200 IN A 160.217.224.139
ZSF-uVyst-160-217-200-152.zsf 7200 IN A 160.217.200.152
exp3.bf 7200 IN A 160.217.205.105
k4-109b-mezerk01.k4 7200 IN A 160.217.224.44
wireless-client-160-217-148-175.wa2 7200 IN A 160.217.148.175
AP6-kni-bra-3NP.wx 7200 IN A 160.217.91.45
wireless-client-160-217-144-17.wa2 7200 IN A 160.217.144.17
wireless-client-160-217-150-201.wa2 7200 IN A 160.217.150.201
fprcb263b1.prf 7200 IN A 160.217.205.11
ZSF-nem-160-217-198-201.zsf 7200 IN A 160.217.198.201
A235Jaklova.ff 7200 IN A 160.217.126.74
ZSF-nem-160-217-198-204.zsf 7200 IN A 160.217.198.204
test-zf 7200 IN CNAME zms-test
ctpvarray.pf 7200 IN A 160.217.96.240
pcf3.zf 7200 IN A 160.217.164.13
wireless-client-160-217-150-185.wa2 7200 IN A 160.217.150.185
epc1.kam 7200 IN A 160.217.220.221
wireless-client-160-217-148-138.wa2 7200 IN A 160.217.148.138
studijni-reserve53.zf 7200 IN A 160.217.166.53
k052100b09.zf 7200 IN A 160.217.162.204
wireless-client-160-217-148-235.wa2 7200 IN A 160.217.148.235
KolejK5-160-217-231-96.k5 7200 IN A 160.217.231.96
sirius.bobik 7200 IN A 160.217.152.1
aula5.bobik 7200 IN A 160.217.152.15
KAM-cam17.cam 7200 IN A 160.217.94.217
kamera6-budova-A.frov 7200 IN MX 10 kamera6-budova-A.frov
kamera6-budova-A.frov 7200 IN A 160.217.190.146
kopr11.zf 7200 IN A 160.217.171.91
CIT-reserve14.zf 7200 IN A 160.217.162.14
KAM-cam09.cam 7200 IN A 160.217.94.209
kch18.zf 7200 IN A 160.217.171.68
kopr16.zf 7200 IN A 160.217.171.96
prfcb3491.prf 7200 IN A 160.217.205.54
wireless-client-160-217-147-59.wa2 7200 IN A 160.217.147.59
cms.lib 7200 IN CNAME lib-web
fprcb1862.prf 7200 IN A 160.217.205.171
cisar.frov 7200 IN MX 10 cisar.frov
cisar.frov 7200 IN A 160.217.202.32
kamera5-budova-A.frov 7200 IN MX 10 kamera5-budova-A.frov
kamera5-budova-A.frov 7200 IN A 160.217.190.145
k110a20.ef 7200 IN A 160.217.172.60
e-vur01.acc 7200 IN A 160.217.90.170
prazdna.zf 7200 IN A 160.217.166.215
wifi-ap-edimax-mlyn.frov 7200 IN MX 10 wifi-ap-edimax-mlyn.frov
wifi-ap-edimax-mlyn.frov 7200 IN A 160.217.190.168
ucebna-z5-zr.zf 7200 IN A 160.217.169.6
wireless-client-160-217-146-24.wa2 7200 IN A 160.217.146.24
fprcs2052.prf 7200 IN A 160.217.2.51
kamera4-budova-A.frov 7200 IN MX 10 kamera4-budova-A.frov
kamera4-budova-A.frov 7200 IN A 160.217.190.144
AP13-zf-dek-2NP.wx 7200 IN A 160.217.91.209
A0013L1PC1.ff 7200 IN A 160.217.126.221
prfcb3551.prf 7200 IN A 160.217.205.33
videokonference-zasedacka.frov 7200 IN MX 10 videokonference-zasedacka.frov
videokonference-zasedacka.frov 7200 IN A 160.217.190.131
prfcb263c4.prf 7200 IN A 160.217.205.59
k3-305-machlu00.k3 7200 IN A 160.217.222.216
AP2-ZFpavA-1NP.wx 7200 IN A 160.217.92.92
wireless-client-160-217-148-155.wa2 7200 IN A 160.217.148.155
A313Uvirova.rek 7200 IN A 160.217.155.137
vldvorak.pf 7200 IN A 160.217.123.200
fprcr206b1.prf 7200 IN A 160.217.210.93
Temporary-t8newlib 7200 IN A 160.217.8.145
kamera3-budova-A.frov 7200 IN MX 10 kamera3-budova-A.frov
kamera3-budova-A.frov 7200 IN A 160.217.190.143
k052100b11.zf 7200 IN A 160.217.162.206
wireless-client-160-217-146-74.wa2 7200 IN A 160.217.146.74
fprcs2112.prf 7200 IN A 160.217.2.49
KolejK5-160-217-231-97.k5 7200 IN A 160.217.231.97
AP1-ZFpavA-1NP.wx 7200 IN A 160.217.92.91
studi.tf 7200 IN A 160.217.193.135
wireless-client-160-217-146-172.wa2 7200 IN A 160.217.146.172
wireless-client-160-217-150-138.wa2 7200 IN A 160.217.150.138
www-test 7200 IN CNAME zope-test
szp14.szp 7200 IN A 160.217.128.14
mladek.pf 7200 IN A 160.217.96.94
kamera2-budova-A.frov 7200 IN MX 10 kamera2-budova-A.frov
kamera2-budova-A.frov 7200 IN A 160.217.190.142
k052520j57.zf 7200 IN A 160.217.166.112
IPtel-Zimmelova.zsf 7200 IN A 160.217.198.177
fzs-1357.zsf 7200 IN A 160.217.199.37
k2-gw.k2 7200 IN A 160.217.219.254
fix.bf 7200 IN CNAME fix.prf
k1-301-najerd00.k1 7200 IN A 160.217.216.6
fzs-2w7-61.zsf 7200 IN A 160.217.178.111
bf-sadky-gw.bf 7200 IN A 160.217.214.254
spravcek1.k3 7200 IN A 160.217.223.128
eduroam-160-217-137-128.eduroam 7200 IN A 160.217.137.128
rek-cam09.cam 7200 IN A 160.217.94.29
kamera1-budova-A.frov 7200 IN MX 10 kamera1-budova-A.frov
kamera1-budova-A.frov 7200 IN A 160.217.190.141
home.zf 7200 IN CNAME venus.zf
wireless-client-160-217-146-232.wa2 7200 IN A 160.217.146.232
andras.pf 7200 IN A 160.217.120.73
ucebna38.lib 7200 IN A 160.217.156.57
A0013L1PC2.ff 7200 IN A 160.217.126.96
k950a1.ef 7200 IN A 160.217.172.31
wireless-client-160-217-148-172.wa2 7200 IN A 160.217.148.172
VPN-160-217-129-88.vpn 7200 IN A 160.217.129.88
wireless-client-160-217-133-151.wa1 7200 IN A 160.217.133.151
spoj-RetrC-smer-FrovC.frov 7200 IN A 160.217.9.133
wireless-client-160-217-133-55.wa1 7200 IN A 160.217.133.55
studijni-reserve55.zf 7200 IN A 160.217.166.55
PC-nem-Capkova.zsf 7200 IN A 160.217.198.33
wireless-client-160-217-147-154.wa2 7200 IN A 160.217.147.154
mbuchtel.pf 7200 IN A 160.217.123.57
k5-509-korinj01.k5 7200 IN A 160.217.228.41
t48szp 7200 IN A 160.217.8.92
attis.ef 7200 IN CNAME beta.ef
AP5-kni-bra-3NP.wx 7200 IN A 160.217.91.44
VPN-160-217-131-87.vpn 7200 IN A 160.217.131.87
CIT-reserve16.zf 7200 IN A 160.217.162.16
AP2-vtp-zs-3NP.wx 7200 IN A 160.217.93.221
wireless-client-160-217-145-35.wa2 7200 IN A 160.217.145.35
wireless-client-160-217-149-154.wa2 7200 IN A 160.217.149.154
wireless-client-160-217-133-211.wa1 7200 IN A 160.217.133.211
wireless-client-160-217-144-118.wa2 7200 IN A 160.217.144.118
fzs-3009.zsf 7200 IN A 160.217.201.22
k110a22.ef 7200 IN A 160.217.172.62
ZF-cam84-24.cam 7200 IN A 160.217.84.54
k2-202-lysyja00.k2 7200 IN A 160.217.218.130
k1-211-satrom01.k1 7200 IN A 160.217.217.74
VPN-160-217-131-190.vpn 7200 IN A 160.217.131.190
test1.pf 7200 IN A 160.217.96.86
7200 IN A 160.217.96.253
k5-702-sedivb00.k5 7200 IN A 160.217.228.142
k3-316-parouz00.k3 7200 IN A 160.217.222.240
wireless-client-160-217-145-85.wa2 7200 IN A 160.217.145.85
A0013L1PC3.ff 7200 IN A 160.217.126.97
k950a2.ef 7200 IN A 160.217.172.32
k1-916-profav01.k1 7200 IN A 160.217.216.24
wireless-client-160-217-144-168.wa2 7200 IN A 160.217.144.168
cisco-academy-160-217-211-234.prf 7200 IN A 160.217.211.234
ned52.ufb 7200 IN A 160.217.215.52
pcf6.zf 7200 IN A 160.217.164.16
koma167.ufb 7200 IN A 160.217.215.167
AP4-zf-zoo-5NP.wx 7200 IN A 160.217.91.93
k051300o-reserve14.zf 7200 IN A 160.217.171.14
AP9-ff-bra-1NP.wx 7200 IN A 160.217.91.24
k052100b13.zf 7200 IN A 160.217.162.208
KolejK5-160-217-231-99.k5 7200 IN A 160.217.231.99
kom61.ufb 7200 IN A 160.217.215.61
k5-516-jirinm00.k5 7200 IN A 160.217.229.147
k5-721-chalum02.k5 7200 IN A 160.217.228.144
CIT-reserve17.zf 7200 IN A 160.217.162.17
VPN-160-217-131-48.vpn 7200 IN A 160.217.131.48
wireless-client-160-217-151-31.wa2 7200 IN A 160.217.151.31
fprcb3511.prf 7200 IN A 160.217.205.35
k052520j59.zf 7200 IN A 160.217.166.114
k3-421-hledim00.k3 7200 IN A 160.217.223.17
prf-uai248.prf 7200 IN A 160.217.210.248
k110a23.ef 7200 IN A 160.217.172.63
spravcek3.k4 7200 IN A 160.217.225.191
fprcc020091.prf 7200 IN A 160.217.206.28
alfresco-test 7200 IN A 160.217.5.126
k3-521-docekp01.k3 7200 IN A 160.217.222.179
dell304.prf 7200 IN A 160.217.214.23
wireless-client-160-217-148-215.wa2 7200 IN A 160.217.148.215
wireless-client-160-217-132-66.wa1 7200 IN A 160.217.132.66
fzs-2w7-23.zsf 7200 IN A 160.217.178.73
wireless-client-160-217-145-210.wa2 7200 IN A 160.217.145.210
FROVZF-zasedacky-160-217-170-78.frovzf 7200 IN A 160.217.170.78
arpwatch.wa2 7200 IN A 160.217.151.250
A0013L1PC4.ff 7200 IN A 160.217.126.213
pc1700.pf 7200 IN A 160.217.98.70
k950a3.ef 7200 IN A 160.217.172.33
ucebna17.lib 7200 IN A 160.217.156.35
VPN-160-217-129-98.vpn 7200 IN A 160.217.129.98
pcf7.zf 7200 IN A 160.217.164.17
AP3-prfC-bra-1NP.wx 7200 IN A 160.217.92.33
VPN-160-217-129-162.vpn 7200 IN A 160.217.129.162
R2008Urban.rek 7200 IN A 160.217.155.162
fprcc020151.prf 7200 IN A 160.217.207.50
fzs-1025.zsf 7200 IN A 160.217.196.107
k052100b14.zf 7200 IN A 160.217.162.209
wireless-client-160-217-149-157.wa2 7200 IN A 160.217.149.157
fzs-2w7-73.zsf 7200 IN A 160.217.178.123
CIT-reserve18.zf 7200 IN A 160.217.162.18
VPN-160-217-129-141.vpn 7200 IN A 160.217.129.141
jerrymouse.prf 7200 IN A 160.217.208.42
meisl.pf 7200 IN A 160.217.121.53
u210.tf 7200 IN A 160.217.193.176
A450Hromada2.rek 7200 IN A 160.217.155.157
k1-801-hrabat00.k1 7200 IN A 160.217.216.239
ned41.ufb 7200 IN A 160.217.215.41
_sip._tls.ef 7200 IN SRV 100 1 443 sipdir.online.lync.com.
wireless-client-160-217-144-96.wa2 7200 IN A 160.217.144.96
fprcc020211.prf 7200 IN A 160.217.207.39
wireless-client-160-217-147-124.wa2 7200 IN A 160.217.147.124
k110a24.ef 7200 IN A 160.217.172.64
spravceK4.k4 7200 IN A 160.217.225.182
FROVZF-zasedacky-160-217-170-144.frovzf 7200 IN A 160.217.170.144
ucebna3.bobik 7200 IN A 160.217.152.23
k1-315-staste02.k1 7200 IN A 160.217.216.172
j121.pf 7200 IN A 160.217.96.138
k5-622-tuckok01.k5 7200 IN A 160.217.228.146
A0013L1PC5.ff 7200 IN A 160.217.126.229
wireless-client-160-217-150-200.wa2 7200 IN A 160.217.150.200
k950a4.ef 7200 IN A 160.217.172.34
k4-110b-schnas00.k4 7200 IN A 160.217.225.156
fprcc020261.prf 7200 IN A 160.217.207.44
wireless-client-160-217-147-174.wa2 7200 IN A 160.217.147.174
AP2-FrovD-1NP.wx 7200 IN A 160.217.91.71
wireless-client-160-217-144-95.wa2 7200 IN A 160.217.144.95
wireless-client-160-217-149-42.wa2 7200 IN A 160.217.149.42
A0042Novotny.ff 7200 IN A 160.217.126.128
AP2-ff-bra-1NP.wx 7200 IN A 160.217.91.17
k052100b15.zf 7200 IN A 160.217.162.228
aula6.bobik 7200 IN A 160.217.152.16
k3-504-dobrok00.k3 7200 IN A 160.217.222.198
gmikesova.ef 7200 IN A 160.217.173.72
zware 7200 IN A 160.217.6.28
k5-728-cabejk00.k5 7200 IN A 160.217.229.202
fzs-3067T.zsf 7200 IN A 160.217.197.225
wireless-client-160-217-150-29.wa2 7200 IN A 160.217.150.29
ned57.ufb 7200 IN A 160.217.215.57
oAP2-ktv-pf-2NP.wx 7200 IN A 160.217.93.181
eduroam-160-217-136-31.eduroam 7200 IN A 160.217.136.31
wireless-client-160-217-147-234.wa2 7200 IN A 160.217.147.234
posudky.ef 7200 IN CNAME web.ef
betakova.pf 7200 IN A 160.217.120.134
vv1-03.lib 7200 IN A 160.217.156.124
eduroam-160-217-137-159.eduroam 7200 IN A 160.217.137.159
wireless-client-160-217-148-248.wa2 7200 IN A 160.217.148.248
k110a25.ef 7200 IN A 160.217.172.65
ZSF-dest-160-217-199-229.zsf 7200 IN A 160.217.199.229
k2-601-velatl00.k2 7200 IN A 160.217.219.51
KAM-cam19.cam 7200 IN A 160.217.94.219
cga248.ufb 7200 IN A 160.217.215.248
wireless-client-160-217-149-13.wa2 7200 IN A 160.217.149.13
prfsw02-205.prf 7200 IN A 160.217.205.249
eduroam-160-217-136-193.eduroam 7200 IN A 160.217.136.193
a24prfd.prf 7200 IN A 160.217.210.2
wireless-client-160-217-132-3.wa1 7200 IN A 160.217.132.3
A0013L1PC6.ff 7200 IN A 160.217.126.95
VPN-160-217-129-205.vpn 7200 IN A 160.217.129.205
wireless-client-160-217-149-161.wa2 7200 IN A 160.217.149.161
IPtel-Urban.zsf 7200 IN A 160.217.199.189
oAP1-zf-vyp-1NP.wx 7200 IN A 160.217.93.50
fprcr2051.prf 7200 IN A 160.217.210.78
prfcb1803.prf 7200 IN A 160.217.205.151
k1-504-dohnav00.k1 7200 IN A 160.217.216.75
k052100b16.zf 7200 IN A 160.217.162.211
A0011TiskEpsonStylusR2000.ff 7200 IN A 160.217.126.18
wireless-client-160-217-145-121.wa2 7200 IN A 160.217.145.121
k3-822-trotss00.k3 7200 IN A 160.217.222.30
KNI-cam05.cam 7200 IN A 160.217.94.175
fprca2021.prf 7200 IN A 160.217.210.36
video-src-f.zf 7200 IN A 160.217.164.250
wireless-client-160-217-148-40.wa2 7200 IN A 160.217.148.40
fprczs2063.prf 7200 IN A 160.217.214.39
k052520j63.zf 7200 IN A 160.217.166.118
A454Valkova.rek 7200 IN A 160.217.155.77
k4-401b-praska01.k4 7200 IN A 160.217.224.196
k3-708-kankoj01.k3 7200 IN A 160.217.223.20
fzs-s07.zsf 7200 IN A 160.217.178.207
k3-808-hronoa01.k3 7200 IN A 160.217.223.51
k110a26.ef 7200 IN A 160.217.172.66
wireless-client-160-217-145-171.wa2 7200 IN A 160.217.145.171
fprcu03004.prf 7200 IN A 160.217.211.54
KolejK5-160-217-231-151.k5 7200 IN A 160.217.231.151
f04da2580b02.pfduk.dhcp 7200 IN CNAME allow.pfduk.dhcp
AP6-pf-jer-1NP.wx 7200 IN A 160.217.91.240
AP9-FrovVM-3NP.wx 7200 IN A 160.217.92.59
k4-209b-klimed02.k4 7200 IN A 160.217.224.255
vokurkova.zsf 7200 IN A 160.217.201.63
wireless-client-160-217-148-53.wa2 7200 IN A 160.217.148.53
A1033Broser.ff 7200 IN A 160.217.126.220
VPN-160-217-129-222.vpn 7200 IN A 160.217.129.222
Cipis.acc 7200 IN A 160.217.90.254
A0013L1PC7.ff 7200 IN A 160.217.126.181
kart.zf 7200 IN CNAME sites.zf
AP1-prfP-sad-1NP.wx 7200 IN A 160.217.92.21
k3-509-tvrzol00.k3 7200 IN A 160.217.222.95
ZSF-uVyst-160-217-200-154.zsf 7200 IN A 160.217.200.154
wireless-client-160-217-150-213.wa2 7200 IN A 160.217.150.213
bo-206.k4 7200 IN A 160.217.225.174
fornax.kam 7200 IN A 160.217.220.90
wireless-client-160-217-145-231.wa2 7200 IN A 160.217.145.231
FROVZF-zasedacky-160-217-170-215.frovzf 7200 IN A 160.217.170.215
k052100b17.zf 7200 IN A 160.217.162.212
UV-SPECTRAL-ZFFROV.frov 7200 IN MX 10 UV-SPECTRAL-ZFFROV.frov
UV-SPECTRAL-ZFFROV.frov 7200 IN A 160.217.202.131
AP4-FrovD-2NP.wx 7200 IN A 160.217.91.73
wireless-client-160-217-132-149.wa1 7200 IN A 160.217.132.149
k3-811-jancua00.k3 7200 IN A 160.217.222.17
k052520j64.zf 7200 IN A 160.217.166.119
IPtel-Hruskova.zsf 7200 IN A 160.217.199.174
k051700b07.zf 7200 IN A 160.217.162.152
infbiol.prf 7200 IN CNAME jerrymouse.prf
wireless-client-160-217-151-239.wa2 7200 IN A 160.217.151.239
FROVZF-zasedacky-160-217-170-23.frovzf 7200 IN A 160.217.170.23
k110a27.ef 7200 IN A 160.217.172.67
wireless-client-160-217-149-46.wa2 7200 IN A 160.217.149.46
berusky2.zf 7200 IN A 160.217.161.49
vejsada-HP.frov 7200 IN MX 10 vejsada-HP.frov
vejsada-HP.frov 7200 IN A 160.217.202.94
dhclient07-duk.pf 7200 IN A 160.217.120.236
wireless-client-160-217-150-164.wa2 7200 IN A 160.217.150.164
k4-308b-kocanb01.k4 7200 IN A 160.217.224.202
fprpc020611.prf 7200 IN A 160.217.206.103
fprcc020601.prf 7200 IN A 160.217.206.92
k3-601-knosoj00.k3 7200 IN A 160.217.222.15
wireless-client-160-217-132-199.wa1 7200 IN A 160.217.132.199
sovo46.ufb 7200 IN A 160.217.215.46
k3-106-setekd01.k3 7200 IN A 160.217.222.105
vypuj3.lib 7200 IN A 160.217.156.144
A0013L1PC8.ff 7200 IN A 160.217.126.182
eduroam-160-217-137-7.eduroam 7200 IN A 160.217.137.7
dhcp-pool-160-217-163-233.zf 7200 IN A 160.217.163.233
k4-910a-vosatp00.k4 7200 IN A 160.217.225.25
k3-401-ulmovk00.k3 7200 IN A 160.217.222.237
k3-410-vokrov00.k3 7200 IN A 160.217.222.136
wireless-client-160-217-147-14.wa2 7200 IN A 160.217.147.14
VPN-160-217-131-143.vpn 7200 IN A 160.217.131.143
k3-820-stucha01.k3 7200 IN A 160.217.222.156
k2-1002-hlozan00.k2 7200 IN A 160.217.218.25
k4-801b-bazgib00.k4 7200 IN A 160.217.225.41
k052100b18.zf 7200 IN A 160.217.162.213
wireless-client-160-217-147-205.wa2 7200 IN A 160.217.147.205
k4-610b-maderp01.k4 7200 IN A 160.217.224.149
ucebna-z7a-zr.zf 7200 IN A 160.217.169.8
wireless-client-160-217-148-126.wa2 7200 IN A 160.217.148.126
fprpp010211.prf 7200 IN A 160.217.212.25
k620a10.ef 7200 IN A 160.217.172.200
A4052Teskova.rek 7200 IN A 160.217.155.103
k052520j65.zf 7200 IN A 160.217.166.120
noskova.pf 7200 IN A 160.217.120.196
wireless-client-160-217-147-64.wa2 7200 IN A 160.217.147.64
fprcp010201.prf 7200 IN A 160.217.212.49
k3-219-kocovp00.k3 7200 IN A 160.217.222.150
wireless-client-160-217-150-63.wa2 7200 IN A 160.217.150.63
wireless-client-160-217-150-82.wa2 7200 IN A 160.217.150.82
A0patroVerejnyPC1.ff 7200 IN A 160.217.126.103
ocr.tf 7200 IN A 160.217.192.29
k4-409b-strapv00.k4 7200 IN A 160.217.224.76
pfr.shv 7200 IN CNAME www.shv
wireless-client-160-217-148-176.wa2 7200 IN A 160.217.148.176
fze-j-01010.zf 7200 IN A 160.217.166.101
cipis.cam 7200 IN A 160.217.94.254
fprcb263b2.prf 7200 IN A 160.217.205.15
ZSF-nem-160-217-198-202.zsf 7200 IN A 160.217.198.202
lump50.ufb 7200 IN A 160.217.215.50
A0013L1PC9.ff 7200 IN A 160.217.126.188
wireless-client-160-217-146-118.wa2 7200 IN A 160.217.146.118
ucebna8.bobik 7200 IN A 160.217.152.28
di251duk.pf 7200 IN A 160.217.120.97
A414LopourovaTDell.rek 7200 IN A 160.217.155.28
wifi1.pf 7200 IN A 160.217.96.236
smb88.ufb 7200 IN A 160.217.215.88
studijni2.pf 7200 IN A 160.217.96.216
epc2.kam 7200 IN A 160.217.220.222
k052100b19.zf 7200 IN A 160.217.162.214
wireless-client-160-217-148-236.wa2 7200 IN A 160.217.148.236
moodle.zsf 7200 IN A 160.217.196.8
CIT-reserve12.zf 7200 IN A 160.217.162.12
wireless-client-160-217-148-2.wa2 7200 IN A 160.217.148.2
adfzs1.zsf 7200 IN A 160.217.196.253
KAM-cam18.cam 7200 IN A 160.217.94.218
Pap-g485-JC-IRC.epc 7200 IN A 160.217.89.103
k620a11.ef 7200 IN A 160.217.172.201
eduroam-160-217-136-62.eduroam 7200 IN A 160.217.136.62
store.pf 7200 IN A 160.217.96.180
wireless-client-160-217-149-80.wa2 7200 IN A 160.217.149.80
eduroam-160-217-137-201.eduroam 7200 IN A 160.217.137.201
jost127.ufb 7200 IN A 160.217.215.127
jind148.ufb 7200 IN A 160.217.215.148
KBD-reserve154.zf 7200 IN A 160.217.166.154
k1-719-bilkok02.k1 7200 IN A 160.217.216.148
wireless-client-160-217-146-25.wa2 7200 IN A 160.217.146.25
eduroam-160-217-136-234.eduroam 7200 IN A 160.217.136.234
k3-1013-halirv00.k3 7200 IN A 160.217.223.22
wireless-client-160-217-146-135.wa2 7200 IN A 160.217.146.135
wireless-client-160-217-146-123.wa2 7200 IN A 160.217.146.123
videokonference-husova.frov 7200 IN MX 10 videokonference-husova.frov
videokonference-husova.frov 7200 IN A 160.217.202.10
prfcb263c5.prf 7200 IN A 160.217.205.185
moodle.ef 7200 IN CNAME moodle11.ef
spoj-FrovC-smer-FrovA.frov 7200 IN A 160.217.9.134
FROVZF-zasedacky-160-217-170-84.frovzf 7200 IN A 160.217.170.84
access 7200 IN A 160.217.1.19
moodle.ff 7200 IN CNAME moodle-ff.ef
k5-232-filipz00.k5 7200 IN A 160.217.228.123
ucebna16.zsf 7200 IN A 160.217.201.66
wireless-client-160-217-146-75.wa2 7200 IN A 160.217.146.75
